name,link,unit,unitLink,content
Comparar el tamaño,/math/cc-kindergarten-math/cc-kindergarten-geometry/kindergarten-compare-size/e/which-has-more-,Medición y geometría,/math/cc-kindergarten-math/cc-kindergarten-geometry,"BuscarHaz una donaciónInicia sesiónRegístrateBusca cursos, habilidades y videosIr a la página principal de Khan Academyenvíanos un reporteHaz una donaciónhazte voluntarioAcerca deNoticiasImpactoNuestro equipoNuestros pasantesNuestros especialistas en contenidoNuestro liderazgoNuestros patrocinadoresNuestros colaboradoresNuestras finanzasBolsa de trabajoPasantíasCentro de ayudaComunidad de apoyoComparte tu historiaPrensaApp para iOSApp para AndroidAmerican Sign LanguageAzərbaycancaBahasa IndonesiačeštinadanskDeutschEnglishespañolfrançaisitalianolatviešulietuviųmagyarNederlandsnorsk bokmålOʻzbekpolskiportuguêsportuguês (Portugal)românăsvenskaTiếng ViệtTürkçeΕλληνικάбългарскиКыргызқазақ тілімонголрусскийСрпскиქართულიհայերենमराठीहिन्दीঅসমীয়াবাংলাਪੰਜਾਬੀગુજરાતીதமிழ்ಕನ್ನಡဗမာខ្មែរ한국어中文 (简体中文)日本語EE.UU.IndiaMéxicoBrasilTérminos de usoPolítica de privacidadAviso de cookies"
Figuras básicas,/math/cc-kindergarten-math/cc-kindergarten-geometry/kindergarten-shapes/v/sides-corners,Medición y geometría,/math/cc-kindergarten-math/cc-kindergarten-geometry,"BuscarHaz una donaciónInicia sesiónRegístrateBusca cursos, habilidades y videosIr a la página principal de Khan Academyenvíanos un reporteHaz una donaciónhazte voluntarioAcerca deNoticiasImpactoNuestro equipoNuestros pasantesNuestros especialistas en contenidoNuestro liderazgoNuestros patrocinadoresNuestros colaboradoresNuestras finanzasBolsa de trabajoPasantíasCentro de ayudaComunidad de apoyoComparte tu historiaPrensaApp para iOSApp para AndroidAmerican Sign LanguageAzərbaycancaBahasa IndonesiačeštinadanskDeutschEnglishespañolfrançaisitalianolatviešulietuviųmagyarNederlandsnorsk bokmålOʻzbekpolskiportuguêsportuguês (Portugal)românăsvenskaTiếng ViệtTürkçeΕλληνικάбългарскиКыргызқазақ тілімонголрусскийСрпскиქართულიհայերենमराठीहिन्दीঅসমীয়াবাংলাਪੰਜਾਬੀગુજરાતીதமிழ்ಕನ್ನಡဗမာខ្មែរ한국어中文 (简体中文)日本語EE.UU.IndiaMéxicoBrasilTérminos de usoPolítica de privacidadAviso de cookies"
Comparar figuras,/math/cc-kindergarten-math/cc-kindergarten-geometry/kindergarten-compare-shapes/v/relative-position,Medición y geometría,/math/cc-kindergarten-math/cc-kindergarten-geometry,"BuscarHaz una donaciónInicia sesiónRegístrateBusca cursos, habilidades y videosIr a la página principal de Khan Academyenvíanos un reporteHaz una donaciónhazte voluntarioAcerca deNoticiasImpactoNuestro equipoNuestros pasantesNuestros especialistas en contenidoNuestro liderazgoNuestros patrocinadoresNuestros colaboradoresNuestras finanzasBolsa de trabajoPasantíasCentro de ayudaComunidad de apoyoComparte tu historiaPrensaApp para iOSApp para AndroidAmerican Sign LanguageAzərbaycancaBahasa IndonesiačeštinadanskDeutschEnglishespañolfrançaisitalianolatviešulietuviųmagyarNederlandsnorsk bokmålOʻzbekpolskiportuguêsportuguês (Portugal)românăsvenskaTiếng ViệtTürkçeΕλληνικάбългарскиКыргызқазақ тілімонголрусскийСрпскиქართულიհայերենमराठीहिन्दीঅসমীয়াবাংলাਪੰਜਾਬੀગુજરાતીதமிழ்ಕನ್ನಡဗမာខ្មែរ한국어中文 (简体中文)日本語EE.UU.IndiaMéxicoBrasilTérminos de usoPolítica de privacidadAviso de cookies"
Componer figuras,/math/cc-kindergarten-math/cc-kindergarten-geometry/kindergarten-composing-shapes/v/compose-shapes,Medición y geometría,/math/cc-kindergarten-math/cc-kindergarten-geometry,"BuscarHaz una donaciónInicia sesiónRegístrateBusca cursos, habilidades y videosIr a la página principal de Khan Academyenvíanos un reporteHaz una donaciónhazte voluntarioAcerca deNoticiasImpactoNuestro equipoNuestros pasantesNuestros especialistas en contenidoNuestro liderazgoNuestros patrocinadoresNuestros colaboradoresNuestras finanzasBolsa de trabajoPasantíasCentro de ayudaComunidad de apoyoComparte tu historiaPrensaApp para iOSApp para AndroidAmerican Sign LanguageAzərbaycancaBahasa IndonesiačeštinadanskDeutschEnglishespañolfrançaisitalianolatviešulietuviųmagyarNederlandsnorsk bokmålOʻzbekpolskiportuguêsportuguês (Portugal)românăsvenskaTiếng ViệtTürkçeΕλληνικάбългарскиКыргызқазақ тілімонголрусскийСрпскиქართულიհայերենमराठीहिन्दीঅসমীয়াবাংলাਪੰਜਾਬੀગુજરાતીதமிழ்ಕನ್ನಡဗမာខ្មែរ한국어中文 (简体中文)日本語EE.UU.IndiaMéxicoBrasilTérminos de usoPolítica de privacidadAviso de cookies"
Números del 0 al 120,/math/cc-1st-grade-math/cc-1st-place-value/cc-1st-numbers-120/v/number-grid,Valor posicional,/math/cc-1st-grade-math/cc-1st-place-value,"BuscarHaz una donaciónInicia sesiónRegístrateBusca cursos, habilidades y videosIr a la página principal de Khan Academyenvíanos un reporteHaz una donaciónhazte voluntarioAcerca deNoticiasImpactoNuestro equipoNuestros pasantesNuestros especialistas en contenidoNuestro liderazgoNuestros patrocinadoresNuestros colaboradoresNuestras finanzasBolsa de trabajoPasantíasCentro de ayudaComunidad de apoyoComparte tu historiaPrensaApp para iOSApp para AndroidAmerican Sign LanguageAzərbaycancaBahasa IndonesiačeštinadanskDeutschEnglishespañolfrançaisitalianolatviešulietuviųmagyarNederlandsnorsk bokmålOʻzbekpolskiportuguêsportuguês (Portugal)românăsvenskaTiếng ViệtTürkçeΕλληνικάбългарскиКыргызқазақ тілімонголрусскийСрпскиქართულიհայերենमराठीहिन्दीঅসমীয়াবাংলাਪੰਜਾਬੀગુજરાતીதமிழ்ಕನ್ನಡဗမာខ្មែរ한국어中文 (简体中文)日本語EE.UU.IndiaMéxicoBrasilTérminos de usoPolítica de privacidadAviso de cookies"
Unidades y decenas,/math/cc-1st-grade-math/cc-1st-place-value/cc-1st-ones-tens/v/place-value-introduction,Valor posicional,/math/cc-1st-grade-math/cc-1st-place-value,"BuscarHaz una donaciónInicia sesiónRegístrateBusca cursos, habilidades y videosIr a la página principal de Khan Academyenvíanos un reporteHaz una donaciónhazte voluntarioAcerca deNoticiasImpactoNuestro equipoNuestros pasantesNuestros especialistas en contenidoNuestro liderazgoNuestros patrocinadoresNuestros colaboradoresNuestras finanzasBolsa de trabajoPasantíasCentro de ayudaComunidad de apoyoComparte tu historiaPrensaApp para iOSApp para AndroidAmerican Sign LanguageAzərbaycancaBahasa IndonesiačeštinadanskDeutschEnglishespañolfrançaisitalianolatviešulietuviųmagyarNederlandsnorsk bokmålOʻzbekpolskiportuguêsportuguês (Portugal)românăsvenskaTiếng ViệtTürkçeΕλληνικάбългарскиКыргызқазақ тілімонголрусскийСрпскиქართულიհայերենमराठीहिन्दीঅসমীয়াবাংলাਪੰਜਾਬੀગુજરાતીதமிழ்ಕನ್ನಡဗမာខ្មែរ한국어中文 (简体中文)日本語EE.UU.IndiaMéxicoBrasilTérminos de usoPolítica de privacidadAviso de cookies"
Comparar números de 2 dígitos,/math/cc-1st-grade-math/cc-1st-place-value/cc-1st-two-digit-compare/v/greater-than-and-less-than-symbols,Valor posicional,/math/cc-1st-grade-math/cc-1st-place-value,"BuscarHaz una donaciónInicia sesiónRegístrateBusca cursos, habilidades y videosIr a la página principal de Khan Academyenvíanos un reporteHaz una donaciónhazte voluntarioAcerca deNoticiasImpactoNuestro equipoNuestros pasantesNuestros especialistas en contenidoNuestro liderazgoNuestros patrocinadoresNuestros colaboradoresNuestras finanzasBolsa de trabajoPasantíasCentro de ayudaComunidad de apoyoComparte tu historiaPrensaApp para iOSApp para AndroidAmerican Sign LanguageAzərbaycancaBahasa IndonesiačeštinadanskDeutschEnglishespañolfrançaisitalianolatviešulietuviųmagyarNederlandsnorsk bokmålOʻzbekpolskiportuguêsportuguês (Portugal)românăsvenskaTiếng ViệtTürkçeΕλληνικάбългарскиКыргызқазақ тілімонголрусскийСрпскиქართულიհայերենमराठीहिन्दीঅসমীয়াবাংলাਪੰਜਾਬੀગુજરાતીதமிழ்ಕನ್ನಡဗမာខ្មែរ한국어中文 (简体中文)日本語EE.UU.IndiaMéxicoBrasilTérminos de usoPolítica de privacidadAviso de cookies"
Relacionar sumas y restas,/math/cc-1st-grade-math/cc-1st-add-subtract/cc-1st-add-subtract-10/v/relating-addition-and-subtraction,Sumas y restas,/math/cc-1st-grade-math/cc-1st-add-subtract,"BuscarHaz una donaciónInicia sesiónRegístrateBusca cursos, habilidades y videosIr a la página principal de Khan Academyenvíanos un reporteHaz una donaciónhazte voluntarioAcerca deNoticiasImpactoNuestro equipoNuestros pasantesNuestros especialistas en contenidoNuestro liderazgoNuestros patrocinadoresNuestros colaboradoresNuestras finanzasBolsa de trabajoPasantíasCentro de ayudaComunidad de apoyoComparte tu historiaPrensaApp para iOSApp para AndroidAmerican Sign LanguageAzərbaycancaBahasa IndonesiačeštinadanskDeutschEnglishespañolfrançaisitalianolatviešulietuviųmagyarNederlandsnorsk bokmålOʻzbekpolskiportuguêsportuguês (Portugal)românăsvenskaTiếng ViệtTürkçeΕλληνικάбългарскиКыргызқазақ тілімонголрусскийСрпскиქართულიհայերենमराठीहिन्दीঅসমীয়াবাংলাਪੰਜਾਬੀગુજરાતીதமிழ்ಕನ್ನಡဗမာខ្មែរ한국어中文 (简体中文)日本語EE.UU.IndiaMéxicoBrasilTérminos de usoPolítica de privacidadAviso de cookies"
Sumas del 1 al  20,/math/cc-1st-grade-math/cc-1st-add-subtract/cc-1st-add-20/v/adding-within-20,Sumas y restas,/math/cc-1st-grade-math/cc-1st-add-subtract,"BuscarHaz una donaciónInicia sesiónRegístrateBusca cursos, habilidades y videosIr a la página principal de Khan Academyenvíanos un reporteHaz una donaciónhazte voluntarioAcerca deNoticiasImpactoNuestro equipoNuestros pasantesNuestros especialistas en contenidoNuestro liderazgoNuestros patrocinadoresNuestros colaboradoresNuestras finanzasBolsa de trabajoPasantíasCentro de ayudaComunidad de apoyoComparte tu historiaPrensaApp para iOSApp para AndroidAmerican Sign LanguageAzərbaycancaBahasa IndonesiačeštinadanskDeutschEnglishespañolfrançaisitalianolatviešulietuviųmagyarNederlandsnorsk bokmålOʻzbekpolskiportuguêsportuguês (Portugal)românăsvenskaTiếng ViệtTürkçeΕλληνικάбългарскиКыргызқазақ тілімонголрусскийСрпскиქართულიհայերենमराठीहिन्दीঅসমীয়াবাংলাਪੰਜਾਬੀગુજરાતીதமிழ்ಕನ್ನಡဗမာខ្មែរ한국어中文 (简体中文)日本語EE.UU.IndiaMéxicoBrasilTérminos de usoPolítica de privacidadAviso de cookies"
Restas del 1 al 20,/math/cc-1st-grade-math/cc-1st-add-subtract/cc-1st-sub-20/v/subtracting-within-20,Sumas y restas,/math/cc-1st-grade-math/cc-1st-add-subtract,"BuscarHaz una donaciónInicia sesiónRegístrateBusca cursos, habilidades y videosIr a la página principal de Khan Academyenvíanos un reporteHaz una donaciónhazte voluntarioAcerca deNoticiasImpactoNuestro equipoNuestros pasantesNuestros especialistas en contenidoNuestro liderazgoNuestros patrocinadoresNuestros colaboradoresNuestras finanzasBolsa de trabajoPasantíasCentro de ayudaComunidad de apoyoComparte tu historiaPrensaApp para iOSApp para AndroidAmerican Sign LanguageAzərbaycancaBahasa IndonesiačeštinadanskDeutschEnglishespañolfrançaisitalianolatviešulietuviųmagyarNederlandsnorsk bokmålOʻzbekpolskiportuguêsportuguês (Portugal)românăsvenskaTiếng ViệtTürkçeΕλληνικάбългарскиКыргызқазақ тілімонголрусскийСрпскиქართულიհայերենमराठीहिन्दीঅসমীয়াবাংলাਪੰਜਾਬੀગુજરાતીதமிழ்ಕನ್ನಡဗမာខ្មែរ한국어中文 (简体中文)日本語EE.UU.IndiaMéxicoBrasilTérminos de usoPolítica de privacidadAviso de cookies"
El signo igual,/math/cc-1st-grade-math/cc-1st-add-subtract/cc-1st-equal-sign/v/equal-sign,Sumas y restas,/math/cc-1st-grade-math/cc-1st-add-subtract,"BuscarHaz una donaciónInicia sesiónRegístrateBusca cursos, habilidades y videosIr a la página principal de Khan Academyenvíanos un reporteHaz una donaciónhazte voluntarioAcerca deNoticiasImpactoNuestro equipoNuestros pasantesNuestros especialistas en contenidoNuestro liderazgoNuestros patrocinadoresNuestros colaboradoresNuestras finanzasBolsa de trabajoPasantíasCentro de ayudaComunidad de apoyoComparte tu historiaPrensaApp para iOSApp para AndroidAmerican Sign LanguageAzərbaycancaBahasa IndonesiačeštinadanskDeutschEnglishespañolfrançaisitalianolatviešulietuviųmagyarNederlandsnorsk bokmålOʻzbekpolskiportuguêsportuguês (Portugal)românăsvenskaTiếng ViệtTürkçeΕλληνικάбългарскиКыргызқазақ тілімонголрусскийСрпскиქართულიհայերենमराठीहिन्दीঅসমীয়াবাংলাਪੰਜਾਬੀગુજરાતીதமிழ்ಕನ್ನಡဗမာខ្មែរ한국어中文 (简体中文)日本語EE.UU.IndiaMéxicoBrasilTérminos de usoPolítica de privacidadAviso de cookies"
Número faltante del 1 al 20,/math/cc-1st-grade-math/cc-1st-add-subtract/cc-1st-missing-number-within-20/e/missing-number-within-20--add-and-subtract-,Sumas y restas,/math/cc-1st-grade-math/cc-1st-add-subtract,"BuscarHaz una donaciónInicia sesiónRegístrateBusca cursos, habilidades y videosIr a la página principal de Khan Academyenvíanos un reporteHaz una donaciónhazte voluntarioAcerca deNoticiasImpactoNuestro equipoNuestros pasantesNuestros especialistas en contenidoNuestro liderazgoNuestros patrocinadoresNuestros colaboradoresNuestras finanzasBolsa de trabajoPasantíasCentro de ayudaComunidad de apoyoComparte tu historiaPrensaApp para iOSApp para AndroidAmerican Sign LanguageAzərbaycancaBahasa IndonesiačeštinadanskDeutschEnglishespañolfrançaisitalianolatviešulietuviųmagyarNederlandsnorsk bokmålOʻzbekpolskiportuguêsportuguês (Portugal)românăsvenskaTiếng ViệtTürkçeΕλληνικάбългарскиКыргызқазақ тілімонголрусскийСрпскиქართულიհայերենमराठीहिन्दीঅসমীয়াবাংলাਪੰਜਾਬੀગુજરાતીதமிழ்ಕನ್ನಡဗမာខ្មែរ한국어中文 (简体中文)日本語EE.UU.IndiaMéxicoBrasilTérminos de usoPolítica de privacidadAviso de cookies"
Problemas verbales con números del 1 al 20,/math/cc-1st-grade-math/cc-1st-add-subtract/cc-1st-word-problems-within-20/v/sea-monsters-and-superheroes,Sumas y restas,/math/cc-1st-grade-math/cc-1st-add-subtract,"BuscarHaz una donaciónInicia sesiónRegístrateBusca cursos, habilidades y videosIr a la página principal de Khan Academyenvíanos un reporteHaz una donaciónhazte voluntarioAcerca deNoticiasImpactoNuestro equipoNuestros pasantesNuestros especialistas en contenidoNuestro liderazgoNuestros patrocinadoresNuestros colaboradoresNuestras finanzasBolsa de trabajoPasantíasCentro de ayudaComunidad de apoyoComparte tu historiaPrensaApp para iOSApp para AndroidAmerican Sign LanguageAzərbaycancaBahasa IndonesiačeštinadanskDeutschEnglishespañolfrançaisitalianolatviešulietuviųmagyarNederlandsnorsk bokmålOʻzbekpolskiportuguêsportuguês (Portugal)românăsvenskaTiếng ViệtTürkçeΕλληνικάбългарскиКыргызқазақ тілімонголрусскийСрпскиქართულიհայերենमराठीहिन्दीঅসমীয়াবাংলাਪੰਜਾਬੀગુજરાતીதமிழ்ಕನ್ನಡဗမာខ្មែរ한국어中文 (简体中文)日本語EE.UU.IndiaMéxicoBrasilTérminos de usoPolítica de privacidadAviso de cookies"
