Name,Duration,Pace,Language,Author,Code,Description,Category,Link
Fondamentaux de la finance,Pas plus de 60 minutes,À votre rythme,Français,HP LIFE,HPL-FR01,"Quel doit être votre prix de vente pour réaliser des bénéfices ?
Découvrez les fondamentaux de la finance d'entreprise, apprenez à calculer vos dépenses et déterminez à quel moment vous pourrez réaliser des bénéfices. 

Dans ce cours, apprenez à :

Déterminer les types de dépenses
Calculer votre seuil de rentabilité
Utiliser une feuille de calcul pour faciliter vos opérations de calcul
",La Finance,https://www.life-global.org/fr/fr/course/122-fondamentaux-de-la-finance
Pertes et profits,Pas plus de 60 minutes,À votre rythme,Français,HP LIFE,HPL-FR03,"Comment puis-je analyser mes pertes et profits commerciaux ?
Découvrez ce que sont les bilans de vos pertes et profits, comment ils sont structurés et pourquoi ils sont importants pour votre entreprise.

Dans ce cours, apprenez à :

Comprendre les fondements des bilans des pertes et profits
Identifier comment vos revenus et dépenses sont liées à pertes et profits
Analyser un bilan de pertes et profits
",La Finance,https://www.life-global.org/fr/fr/course/121-pertes-et-profits
Recherche de financements,Pas plus de 60 minutes,À votre rythme,Français,HP LIFE,HPL-FR09,"Comment trouver un financement pour créer ou développer une entreprise ?
Étudiez les sources de financement pour votre entreprise. Identifiez quelles sont les sources qui correspondent le mieux à vos besoins et découvrez ce que vous devez prendre en considération avant de faire une demande de financement. 

Dans ce cours, apprenez à : 

Déterminer le montant d’argent dont vous aurez besoin
Déterminer la durée du prêt nécessaire
Identifier les sources de financement les mieux adaptées aux besoins de votre entreprise
Augmenter vos possibilités de financement
Éviter les prêteurs prédateurs
",La Finance,https://www.life-global.org/fr/fr/course/120-recherche-de-financements
Anticiper les ventes,Pas plus de 60 minutes,À votre rythme,Français,HP LIFE,HPL-FR18,"Comment puis-je rassembler les bonnes informations pour prévoir les ventes liées à mon entreprises
Découvrez pourquoi les prévisions de ventes sont importantes pour votre entreprise et comment rassembler les informations dont vous avez besoin pour créer des prévisions de ventes.

Dans ce ours, apprenez à :

Collecter des informations pour établir les prévisions de ventes de votre entreprise
Utiliser un logiciel de gestion de feuille de calcul personnalisée pour suivre vos prévisions de ventes
",La Finance,https://www.life-global.org/fr/fr/course/118-anticiper-les-ventes
Proposition de valeur unique,Pas plus de 60 minutes,À votre rythme,Français,HP LIFE,HPL-FR04,"Comment déterminer ce qui rend mon entreprise unique ?
Découvrez comment vous pouvez différencier votre entreprise de vos concurrents et comment élaborer votre propre proposition de valeur unique.

Dans cette formation, vous apprendrez à :

Définir ce qu'est une proposition de valeur unique (PVU) et comment en créer une.
Expliquer pourquoi les PVU sont importantes pour toute entreprise et comment elles peuvent être appliquées.
Comprendre les composantes clés de toute bonne PVU.
Évaluer les PVU des entreprises concurrentes.
",Commercialisation,https://www.life-global.org/fr/fr/course/105-proposition-de-valeur-unique
Votre public cible,Pas plus de 60 minutes,À votre rythme,Français,HP LIFE,HPL-FR06,"Comment puis-je identifier mon public cible ?
Découvrez les moyens de recueillir des informations sur vos clients existants et potentiels et de concentrer vos efforts pour un impact maximal.

Dans cette formation, vous apprendrez à :

Poser des questions qui vous permettront d'en savoir davantage sur vos clients.
Créer une enquête en ligne ou en personne pour recueillir des informations sur vos clients.
Rassembler les points de vue des clients en organisant un entretien ou en animant un groupe de discussion.
",Commercialisation,https://www.life-global.org/fr/fr/course/106-votre-public-cible
Vendre en ligne,Pas plus de 60 minutes,À votre rythme,Français,HP LIFE,HPL-FR07,"Comment vendre plus efficacement mes produits ou services en ligne ?
Découvrez comment la vente en ligne peut améliorer la capacité de votre entreprise à réaliser des profits et apprenez à vendre plus efficacement à votre public grâce à Internet.
Dans ce cours, vous apprendrez à :

Optimiser les stratégies de vente et de commercialisation pour votre produit ou service.
Produire des titres, des descriptions et des photographies efficaces pour votre liste de produits et vos publicités en ligne.
Vous engager à offrir un service de qualité et faire de la valeur unique de votre entreprise votre marque.
Vendre en ligne même si vous ne pensez pas avoir les qualités requises pour être un vendeur.
",Commercialisation,https://www.life-global.org/fr/fr/course/107-vendre-en-ligne
Sites Web efficaces,Pas plus de 60 minutes,À votre rythme,Français,HP LIFE,HPL-FR17,"Comment puis-je développer un site Internet pour m’aider à atteindre mes objectifs professionnels ?
Le cours Sites Internet Professionnels Efficaces soutient vos objectifs commerciaux en vous enseignant les bases afin de créer un site Internet convivial qui vous permet d’attirer de nouveaux clients et de fidéliser la clientèle existante. 

Dans ce cours, vous apprendrez à :

Découvrir les avantages et les fonctions d’un site Internet professionnel.
Comprendre vos clients et comment ils utilisent un site Internet professionnel.
Utiliser un logiciel de conception Web en ligne pour créer un site Internet professionnel.
Utiliser les indicateurs du site Internet pour améliorer votre activité.
",Commercialisation,https://www.life-global.org/fr/fr/course/109-sites-web-efficaces
Gestion de la relation client (CRM),Pas plus de 60 minutes,À votre rythme,Français,HP LIFE,HPL-FR12,"Comment un outil de gestion de la relation client peut-il m’aider dans mon entreprise ?
Découvrez comment utiliser un outil de gestion de la relation client (CRM) pour mieux archiver les informations relatives à vos clients et prospects, de façon à développer votre activité.

Dans ce cours, apprenez à :

Mettre en place un outil de gestion de la relation client (CRM) pour votre activité
Utiliser cet outil CRM pour archiver des informations qui vous aideront à développer votre activité.
",Commercialisation,https://www.life-global.org/fr/fr/course/132-gestion-de-la-relation-client-(crm)
L'art de vendre : Principes fondamentaux de la vente,Pas plus de 60 minutes,À votre rythme,Français,HP LIFE,HPL-FR32,"Comment puis-je devenir un meilleur vendeur ?
Découvrez comment négocier des ventes, gérer les réticences des clients et utiliser des outils pour devenir un meilleur vendeur.

Dans ce cours, apprenez à :

Découvrir en quoi consistent les techniques de vente et comment devenir un vendeur plus efficace
Apprendre à cerner les habitudes d'achat de vos clients potentiels
Apprendre à créer un message argumenté pour votre entreprise 
Apprendre à négocier une vente et à gérer les objections des clients
Apprendre à utiliser les outils de vente tels que Google Analytics et les réseaux sociaux
",Commercialisation,https://www.life-global.org/fr/fr/course/234-l'art-de-vendre-principes-fondamentaux-de-la-vente
Marketing sur les réseaux sociaux ,Pas plus de 60 minutes,À votre rythme,Français,HP LIFE,HPL-FR02,"Comment puis-je utiliser le marketing sur les réseaux sociaux pour développer mon entreprise ?
Explorez différentes gammes de plateformes de campagnes de marketing sur les réseaux sociaux pour créer une publicité sur un réseau social à destination de votre clientèle cible. 

Dans ce cours, apprenez à :

Utiliser différentes plateformes pour promouvoir votre entreprise sur les réseaux sociaux
Créer une publicité Facebook à destination de vos clients
",Commercialisation,https://www.life-global.org/fr/fr/course/104-marketing-sur-les-r%C3%A9seaux-sociaux-
Avantages contre caractéristiques,Pas plus de 60 minutes,À votre rythme,Français,HP LIFE,HPL-FR19,"Comment puis-je promouvoir les avantages de mes produits et services ?
Apprenez comment créer des matériaux commerciaux pour promouvoir efficacement les avantages de vos produits ou services à destination de votre public cible.

Dans ce cours, apprenez à :

Comprendre la différence entre les avantages et les caractéristiques de vos produits ou services
Utiliser les avantages et les caractéristiques de vos produits pour promouvoir efficacement ceux-ci sur votre marché cible
Utiliser des modèles en ligne afin de créer un dépliant pour votre entreprise
",Commercialisation,https://www.life-global.org/fr/fr/course/110-avantages-contre-caract%C3%A9ristiques
Fixer les prix,Pas plus de 60 minutes,À votre rythme,Français,HP LIFE,HPL-FR15,"Comment puis-je fixer le prix de mes produits ou services ?
Découvrez quelles sont les recherches à effectuer pour déterminer les prix de vos produits et services et apprenez comment personnaliser un tableau dans un logiciel de traitement de texte pour consigner les résultats de vos recherches.

Dans ce cours, apprenez à :

Mener des recherches pour déterminer les prix de vos produits et services.
Fixer les prix de vos produits et services
Utiliser un logiciel de traitement de texte pour personnaliser des tableaux
",Commercialisation,https://www.life-global.org/fr/fr/course/108-fixer-les-prix
Gestion d'inventaire,Pas plus de 60 minutes,À votre rythme,Français,HP LIFE,HPL-FR20,"Quelle quantité ai-je besoin de vendre pour générer du profit ?
Découvrez pourquoi la gestion d'inventaire est essentielle pour garantir la réussite de vos opérations et maximiser vos bénéfices.

Dans ce cours, apprenez à :

Sélectionner la meilleure méthode de gestion d'inventaire pour votre entreprise
Utiliser différentes technologies pour gérer votre inventaire
",Opérations,https://www.life-global.org/fr/fr/course/130-gestion-d'inventaire
Embaucher du personnel,Pas plus de 60 minutes,À votre rythme,Français,HP LIFE,HPL-FR13,"Comment puis-je engager les bonnes personnes dans mon entreprise ?
Apprenez comment créer une offre d'emploi et comment sélectionner la bonne personne pour votre entreprise.

Dans ce cours, apprenez à :

Suivre une procédure structurée pour embaucher un salarié
Utiliser un logiciel de traitement de texte pour créer une offre d'emploi
",Opérations,https://www.life-global.org/fr/fr/course/131-embaucher-du-personnel
Efficacité énergétique : Faire davantage avec moins,Pas plus de 60 minutes,À votre rythme,Français,HP LIFE,HPL-FR22,"Comment puis-je économiser l’énergie dans mon entreprise ?
Découvrez comment évaluer et réduire la consommation d'énergie de votre entreprise afin d'économiser de l'argent et protéger l'environnement

Dans ce cours, apprenez à :

Évaluer votre consommation d'énergie et comprendre comment les économies d'énergie impliquent des économies financières pour votre entreprise, préservent les ressources naturelles et limitent la pollution
Utiliser une feuille de calcul pour mesurer la consommation énergétique de votre entreprise
",Opérations,https://www.life-global.org/fr/fr/course/129-efficacit%C3%A9-%C3%A9nerg%C3%A9tique-faire-davantage-avec-moins
L'informatique au service de mon entreprise,Pas plus de 60 minutes,À votre rythme,Français,HP LIFE,HPL-FR24,"Comment puis-je connaître la technologie adaptée à mon entreprise ?
Déterminez les types de solutions technologiques qui s’adaptent au mieux à vos objectifs commerciaux et apprenez comment différentes technologies impactent directement votre entreprise.

Dans ce cours, apprenez à : 

Déterminer les types de solutions technologiques qui contribueront le plus à la réalisation de vos objectifs d'entreprise
Choisir la meilleure méthode de mise en œuvre d'une solution technologique en fonction des besoins spécifiques de votre entreprise
",Opérations,https://www.life-global.org/fr/fr/course/128-l'informatique-au-service-de-mon-entreprise
Effective Presentations,No more than 60 minutes,Self-Paced,English,HP LIFE,HPL-EN10,"How can I create effective slide presentations?
Learn how to develop, practice for, and give a persuasive presentation that expresses your  message clearly and is targeted to a specific audience.

In this course, you will learn how to:

Determine what information in a presentation is most relevant to a specific audience.
Create effective and well-designed slide presentations to be given remotely or in person.
Develop best practices for public speaking and giving a presentation.

",Communication,https://www.life-global.org//course/12-effective-presentations
Effective Leadership,No more than 60 minutes,Self-Paced,English,HP LIFE,HPL-EN23,"How can I become a more effective leader?
Understand when and how to use different leadership approaches to become a stronger and more effective leader in all aspects of business. 

In this course, you will learn how to:

Assess which leadership approaches are appropriate for different situations.
Use desktop or mobile software to collaborate and communicate more productively as a leader

",Communication,https://www.life-global.org//course/13-effective-leadership
Business Email,No more than 60 minutes,Self-Paced,English,HP LIFE,HPL-EN11,"How can I use email effectively in my business?
Learn how to write professional business emails to
communicate effectively with your customers and suppliers.

In this course, you will learn how to:

Recognize the dos and don’ts of business email.
Address an email.
Add an attachment to an email.
Create an email signature.
",Communication,https://www.life-global.org//course/10-business-email
Business Communications ,No more than 60 minutes,Self-Paced,English,HP LIFE,HPL-EN26,"How can I improve my business communications?
Learn why business communications are important and how to create a simple framework you can use to improve your business communication skills.  In this course, you will learn how to: Identify the characteristics of effective business communications.Identify success factors for effective communication.Identify and analyze your target audience.Use communication mediums to effectively convey messages.
",Communication,https://www.life-global.org//course/9-business-communications-
Presenting Data,No more than 60 minutes,Self-Paced,English,HP LIFE,HPL-EN14,"What’s the most effective way to present my business’s data?
Discover how to use spreadsheet software to create charts that convey your business’s data effectively.

In this course, you will learn how to:

Understand how to use different charts and graphs to help people understand and value your business. 
Decide what type of chart to use to present your data effectively.Use spreadsheet software to create charts and graphs.

",Communication,https://www.life-global.org//course/11-presenting-data
Circular Economy,No more than 60 minutes,Self-Paced,English,HP LIFE,HPL-EN33,"How can I design my business to contribute to a circular economy?
Learn the fundamentals and foundational principles of a circular economy and understand how it can provide more benefits and value than a traditional linear business model.

In this course, you will:

Understand why a circular economy is very important in today’s world. 
Learn the basic principles of circular economy. 
Understand the different ways you can incorporate circular economy into your business model.

This course was developed in partnership between UNIDO and HP LIFE with financial support from USAID and the HP Foundation.",Startup / Innovate,https://www.life-global.org//course/333-circular-economy
Starting a Small Business,No more than 60 minutes,Self-Paced,English,HP LIFE,HPL-EN28,"How can I start a small business?
Learn what steps you need to take to start a small business and how to create a business plan that sets out an effective strategy for growth.

In this course, you will learn how to:

Use entrepreneurial thinking to start a business.
Set up My Business Plan—an HP LIFE tool to help you create a business plan.
Analyze metrics to measure your business’s success.
",Startup / Innovate,https://www.life-global.org//course/17-starting-a-small-business
Social Entrepreneurship,No more than 60 minutes,Self-Paced,English,HP LIFE,HPL-EN21,"How can I build a sustainable, impact-driven business to solve a problem in my community?
Discover what a social enterprise is, how it differs from traditional businesses, and what you need to do to set one up successfully. 

In this course, you will learn how to:

Assess whether an idea for a social enterprise is sustainable and can create positive social impact.
Avoid common mistakes made when setting up a social enterprise.
Use entrepreneurial tools to better understand your audience and the challenges they face.

",Startup / Innovate,https://www.life-global.org//course/318-social-entrepreneurship
Growth Engine for Your Business,No more than 60 minutes,Self-Paced,English,HP LIFE,HPL-EN31,"What is a growth engine and how can I use one to grow my business?Discover how a growth engine system can help you grow your business by transforming interested visitors into engaged users and happy customers.

In this course, you will learn how to:

Identify the major parts of a Growth Engine.
Describe individual components of each part of a Growth Engine.
Ask key questions to think about your customer’s experience.
Build a Growth Engine for a new situation.
Generate ideas for a Growth Engine for your own business.
",Startup / Innovate,https://www.life-global.org//course/19-growth-engine-for-your-business
3D Printing,No more than 60 minutes,Self-Paced,English,"HP LIFE & Youth for Technology Foundation
 (YTF)",HPL-EN29,"How can I use 3D printing to help me start or grow my business?
Discover how you can use 3D printing to create prototypes and products for your business.

In this course, you will learn how to:

Use 3D printing to design, prototype and manufacture new products.
Develop the skills required and find out about the resources available to you to use 3D print successfully.

",Startup / Innovate,https://www.life-global.org//course/18-3d-printing
Success Mindset,No more than 60 minutes,Self-Paced,English,HP LIFE,HPL-EN30,"How can I develop a success mindset?Find out what a success mindset is, how to develop one, and how it helps you create a successful future.

In this course, you will:

Understand what makes you happy—your values, interests, and priorities.
Create a vision for your future, set personal or professional goals, and create a success plan.
Learn how to achieve your plan by developing good business habits and leveraging your strengths.
",Startup / Innovate,https://www.life-global.org//course/196-success-mindset
Design Thinking,No more than 60 minutes,Self-Paced,English,HP LIFE,HPL-EN27,"How can I use design thinking in my business?
Discover basic design thinking concepts to identify, define, explore, generate, and test ideas to solve difficult customer problems. 

In this course, you will learn how to:

Define a problem and create a problem statement.
Conduct interviews to learn more about potential customers and their unmet needs.
Explore the problem to deepen your understanding.
Generate and test solutions to solve the problem.
Use feedback to iterate and improve the solution.
",Startup / Innovate,https://www.life-global.org//course/16-design-thinking
Strategic Planning,No more than 60 minutes,Self-Paced,English,HP LIFE,HPL-EN25,"How can I choose the right strategies for the long-term success of my business?
Learn how to use a SWOT (Strengths, Weaknesses, Opportunities, and Threats) analysis to choose the best strategies to help your business reach its long-term goals.

In this course, you will learn how to:

Use a SWOT analysis to consider your businesses Strengths, Weaknesses, Opportunities, and Threats in order to select the most effective strategies for the success of your business.
Simplify the process by integrating word processing and spreadsheet documents.

This course was developed in collaboration with the Kelley School of Business, Indiana University, as part of the United States Agency for International Development (USAID)-funded Advancement and Development through Entrepreneurship Programs and Training (ADEPT) partnership for Myanmar (Burma).",Startup / Innovate,https://www.life-global.org//course/15-strategic-planning
Cash Flow,No more than 60 minutes,Self-Paced,English,HP LIFE,HPL-EN16,"How will keeping track of my cash flow help my business?
Discover why cash flow is important to your business and how to make decisions based on the resources available to you.

In this course, you will learn how to:

Monitor and track your cash flow.
Make decisions about how to manage your cash.
Navigate a spreadsheet to track your cash flow.

",Finance,https://www.life-global.org//course/24-cash-flow
Basics of Finance,No more than 60 minutes,Self-Paced,English,HP LIFE,HPL-EN01,"How much do I need to sell to make a profit?
Learn basic business finance concepts to help you calculate expenses and find out when you will make a profit. 

In this course, you will learn how to:

Determine types of expenses.
Calculate your break-even point.
Use a spreadsheet to make your calculations easier.
",Finance,https://www.life-global.org//course/21-basics-of-finance
Profit and Loss,No more than 60 minutes,Self-Paced,English,HP LIFE,HPL-EN03,"How do I analyze profit and loss in my business?Find out what a profit and loss statement is, how it is structured, and why it’s important for your business.

In this course, you will learn how to:

Understand the basics of the Profit and Loss Statement.
Discover how revenue and expenses relate to profit and loss.
Analyze a profit and loss statement.",Finance,https://www.life-global.org//course/20-profit-and-loss
Finding Funding,No more than 60 minutes,Self-Paced,English,HP LIFE,HPL-EN09,"How can I find funding to start or grow my business?
Explore funding sources for your business, identify which sources are the best match for your needs, and learn what to consider before you apply. 

In this course, you will learn how to:

Determine how much money you will need.
Understand how long you will need the money.
Identify the funding sources that are best for your business needs.
Increase your funding success.
Avoid predatory lenders.
",Finance,https://www.life-global.org//course/22-finding-funding
Sales Forecasting,No more than 60 minutes,Self-Paced,English,HP LIFE,HPL-EN18,"How can I gather the right information to forecast sales for my business?
Find out why sales forecasting is important for your business and how to gather the information you need to create a sales forecast. 

In this course, you will learn how to:

Gather information to make a sales forecast for your business.
Use spreadsheet software to customize spreadsheets and track your sales forecast.

",Finance,https://www.life-global.org//course/23-sales-forecasting
Unique Value Proposition,No more than 60 minutes,Self-Paced,English,HP LIFE,HPL-EN04,"How do I determine what makes my business unique?
Explore how you can differentiate your business from your competitors and how to craft your own unique value proposition.

In this course, you will learn how to:

Define what unique value proposition (UVP) means and how to create a UVP
Explain why UVPs are important to any business and how they can be applied
Understand key components of good UVPs
Assess the UVPs of competitor businesses
",Marketing,https://www.life-global.org//course/26-unique-value-proposition
"Your Target Audience
",No more than 60 minutes,Self-Paced,English,HP LIFE,HPL-EN06,"How do I identify my target audience?
Explore ways to gather information about your existing and potential customers and how to focus your efforts for maximum impact.

In this course, you will learn how to:

Craft questions to learn more about your customers.
Create an online or in-person survey to gather information about your customers.
Gather customer insights through facilitating an interview or focus group.
",Marketing,https://www.life-global.org//course/27-your-target-audience-
Selling Online,No more than 60 minutes,Self-Paced,English,HP LIFE,HPL-EN07,"How can I sell my products or services more effectively online?
Discover how selling online can improve your business’s ability to make a profit and learn how you can sell to your audience more effectively through the internet.
In this course, you will learn how to: 

Optimize sales and marketing strategies for your product or service.
Produce effective titles, descriptions, and photographs for your online product listings and advertisements.
Commit yourself to good service and make your business’s unique value your brand.
Sell online even if you don’t think you have what it takes to be a salesperson.
",Marketing,https://www.life-global.org//course/28-selling-online
Effective Business Websites,No more than 60 minutes,Self-Paced,English,HP LIFE,HPL-EN17,"How can I use my website to meet my business goals?
Learn the fundamentals of building a user-friendly website that enables you to attract new customers and retain existing ones.

In this course, you will learn how to:

Explore the benefits and functions of a business website.
Understand your customers and how they use a business website.
Use online web design software to create a business website.
Use website metrics to improve your business.

",Marketing,https://www.life-global.org//course/30-effective-business-websites
